date,closedPnL_sum,closedPnL_mean,closedPnL_count,trade_value_sum,trade_value_mean,size_tokens_sum,is_profitable_mean,account_nunique,Classification,value,sentiment_score
2024-12-03,23576.539285,63.03887509358289,374,1084666.510653,2900.1778359705886,251246.61252,0.4304812834224599,8,Greed,76.0,1.0
2024-12-04,292891.815021,918.1561599404388,319,769287.6978940717,2411.5601814861184,13484938.200452391,0.46394984326018807,7,Greed,78.0,1.0
2024-12-05,71574.11848800001,156.96078615789474,456,1256750.7987900001,2756.0324534868423,75629.96987,0.4232456140350877,8,Greed,84.0,1.0
2024-12-06,-92624.643895,-229.83782604218362,403,3471019.3051,8612.951129280396,108676.63024,0.23325062034739455,10,Greed,72.0,1.0
2024-12-07,85906.279067,282.5864442993421,304,451733.35789760563,1485.964993084229,1291173.42509178,0.4309210526315789,6,Greed,75.0,1.0
2024-12-08,15965.933436,38.014127228571425,420,932939.660374,2221.284905652381,930353.7121,0.3619047619047619,6,Greed,79.0,1.0
2024-12-09,6310.967676,11.708659881261596,539,983949.726508,1825.5096966753247,170346.94181,0.31910946196660483,10,Greed,78.0,1.0
2024-12-10,39325.770231,24.640206911654136,1596,3150423.8495111354,1973.9497803954482,2869587.4983333,0.5870927318295739,11,Greed,78.0,1.0
2024-12-11,319051.554217,261.30348420720725,1221,2194098.364461,1796.9683574619164,371860.94751,0.7125307125307125,12,Greed,74.0,1.0
2024-12-12,599151.795008,310.1199767122153,1932,4557189.73703446,2358.793859748685,1644131.25544,0.6997929606625258,14,Greed,83.0,1.0
2024-12-13,31935.901745,27.22583268968457,1173,2880824.535528,2455.945895590793,548827.41916,0.40153452685422,11,Greed,76.0,1.0
2024-12-14,167801.399244,135.87157833522267,1235,2369561.7912950674,1918.6735152186782,375074.5156657,0.47368421052631576,12,Greed,83.0,1.0
2024-12-15,97525.315279,57.4692488385386,1697,2583269.80463575,1522.2568088601945,832940.28064,0.24572775486152032,15,Greed,80.0,1.0
2024-12-16,166774.344133,158.07994704549765,1055,2740808.9615622945,2597.923186314971,163627.84630525,0.5071090047393365,13,Greed,83.0,1.0
